127.0.0.1 - - [25/Dec/2019:15:49:57 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Dec/2019:15:50:00 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [25/Dec/2019:15:50:27 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [25/Dec/2019:15:50:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Dec/2019:15:52:07 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [25/Dec/2019:15:53:00 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [25/Dec/2019:15:54:18 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:02:17 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:04:06 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 3717
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:04:45 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:05:40 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:06:49 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4226
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:08:11 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:08:26 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4273
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:10:29 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:12:48 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4429
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:12:48 +0530] "GET /Abacus/bluefireback1.gif HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:12:51 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4429
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:12:51 +0530] "GET /Abacus/bluefireback1.gif HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:13:18 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4311
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:13:28 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4429
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:13:28 +0530] "GET /Abacus/bluefireback1.gif HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:18:10 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4405
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:22:56 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4455
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:22:56 +0530] "GET /Abacus/img/abakus-grunder.png HTTP/1.1" 200 11690
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:25:24 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:25:24 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 200 48163
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:27:21 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:27:21 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:27:56 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:29:02 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:29:02 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 200 99066
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:30:00 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:30:00 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:30:21 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:30:21 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:32:09 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:32:09 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:32:34 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4433
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:32:50 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:32:50 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:34:36 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4635
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:34:36 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:35:53 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 4667
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:35:53 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:16:37:12 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 5048
